"","object_id","global_id","transect_meter_mark","direction_to_group","distance_to_group","number_seedlings_in_group","number_vegetative_in_group","number_reproductive_in_group","site_name","dist_between_transects","event_date","recorded_by","transect_number","transect_orientation","parent_global_id","creation_date","creator","edit_date","editor","x","y","Transect Length"
"34","55","f235ab8e-9659-410e-a208-e488d60e4403",-10.1,"-",-0.48,NA,NA,1,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-10.1,-0.48,50
"35","56","9595c654-5805-4f4e-9148-0761fbcd6ab3",-16.53,"+",0.27,NA,1,NA,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-16.53,0.27,50
"36","57","dac1e838-1923-403c-a6dc-92842af426ca",-17.05,"+",0.14,NA,1,NA,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-17.05,0.14,50
"37","58","c3c2aaaa-d700-4c09-a771-9b4708447bc3",-18.02,"+",0.18,NA,7,2,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-18.02,0.18,50
"38","59","f2687f68-0624-4e42-8376-417ee7a6e349",-18.05,"-",-0.54,NA,1,NA,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-18.05,-0.54,50
"39","60","8357abea-d444-496d-ad60-7a63cebad493",-18.2,"-",-0.19,NA,1,NA,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-18.2,-0.19,50
"40","61","0eff2255-2ac5-4def-bab0-5f7878a23f2c",-18.25,"-",-0.54,NA,1,NA,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-18.25,-0.54,50
"41","62","61710345-c919-49ad-a7a3-b5baddd3c8c2",-18.56,"-",-0.31,NA,NA,1,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-18.56,-0.31,50
"42","63","31354154-bdf6-4ee3-b127-a7ebc54f9fcc",-20.66,"+",0.51,NA,1,NA,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-20.66,0.51,50
"43","64","88178d2b-2e23-437c-8968-eff0f8c6812b",-27.42,"+",0.37,NA,NA,1,"3",10,1714586400000,NA,"4","EW","f7e2ec6e-3487-4943-903c-d2caacc08a4e","5/2/2024 2:00:59 AM","MichelleDPL","5/2/2024 2:00:59 AM","MichelleDPL",-27.42,0.37,50
